KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1524643668268548407;-1.43771385680569 0.551886642299762                 0;-8.09054250664475 -4.15965023019573  29.2382703728391;
1524643668669244389;-1.43771385680569 0.551886642299762                 0;-7.94726591745331 -3.74943628850406   29.348462052663;
1524643669268512089;-1.43771385680569 0.551886642299762                 0;-7.05305879629265 -3.24508647551318  29.4480333903494;
1524643669669202553;-1.43771385680569 0.551886642299762                 0;-6.24285888663556 -2.70199645132829  29.4578437908772;
1524643670070230265;-1.43771385680569 0.551886642299762                 0; -5.4458922145963 -2.10358117232903  29.3829568303068;
1524643670669044870;-1.43771385680569 0.551886642299762                 0;-4.66792047855045 -1.53410638279428  29.2968081650327;
1524643671069977339;-1.43771385680569 0.551886642299762                 0; -3.97830272543396 -0.951995469345379   29.2197544111505;
1524643671470699257;-1.43771385680569 0.551886642299762                 0; -3.40399792182185 -0.415009825246102   29.1542960557263;
1524643672069132326;-1.43771385680569 0.551886642299762                 0;-2.88019768370943 0.103553689023839   29.146144928817;
1524643672469819916;-1.43771385680569 0.551886642299762                 0;-2.35755559197737 0.511173754599004  29.0991800685917;
1524643672868843955;-1.11951884306394    1.086405798965                 0;-1.75341599702952 0.898172156371428  28.9981259600147;
1524643673468471966;-1.11951884306394    1.086405798965                 0;-1.24667009334798  1.21091440655726  28.8959355999108;
1524643673868997990;-1.11951884306394    1.086405798965                 0;-0.702346164130329   1.42544179201639   28.7368578407433;
1524643674269226644;-1.11951884306394    1.086405798965                 0;0.286548850864129  1.37363154521292   28.603522380866;
1524643674669400574;-1.11951884306394    1.086405798965                 0; 1.13021867485242 0.990970348069906  28.6329034814018;
1524643675268571684;-1.11951884306394    1.086405798965                 0; 2.15676246772291 0.819637948989615  28.4611750736324;
1524643675668868678;-1.11951884306394    1.086405798965                 0; 2.74481504655434 0.684146813289071  28.0327772651445;
1524643676068554812;-1.11951884306394    1.086405798965                 0; 3.30272122018725 0.820587873229643  27.5239687209646;
1524643676668723510;-1.11951884306394    1.086405798965                 0;3.43318725924615 1.04506217072576 27.2513241111764;
1524643677068682208;-1.11951884306394    1.086405798965                 0;3.29862297984033  1.5123951720769 27.1128341161527;
1524643677468619120;-2.00486682954482  1.59188849979856                 0;2.91778288784445 1.82798804774104 27.1522370205856;
1524643678068514832;-2.00486682954482  1.59188849979856                 0;2.60776667293404  2.1302972758551 27.2184727096429;
1524643678469078142;-2.00486682954482  1.59188849979856                 0;1.84273904654722 2.62178729934435 27.5758767993385;
1524643678868732166;-2.00486682954482  1.59188849979856                 0;0.901735446923915  2.86877359130431  28.4427866892479;
1524643679468690552;-2.00486682954482  1.59188849979856                 0;0.0394824313039805   2.91797759943483   29.3261049123935;
1524643679869078935;-2.00486682954482  1.59188849979856                 0;-0.705369167144521   2.90440218573344   29.9398940030434;
1524643680269827986;-2.00486682954482  1.59188849979856                 0;-1.68096869395177  2.83754054951226  30.3545852672545;
1524643680868664495;-2.00486682954482  1.59188849979856                 0;-2.66920312934334  2.57788271961556   30.545645506424;
1524643681269155726;-2.00486682954482  1.59188849979856                 0;-3.38826702494855  2.55730978932018  30.5764747185369;
1524643681669748429;-2.00486682954482  1.59188849979856                 0;-3.88054908997464  2.85233700736851   30.160653330377;
1524643682268736259;-2.17919274884038  1.00554411310569                 0;-3.71139142996861  3.05279515972205  29.7899441095054;
1524643682668952492;-2.17919274884038  1.00554411310569                 0;-3.35288099587414  2.99461357146888  29.6363748196839;
1524643683070877970;-2.17919274884038  1.00554411310569                 0;-3.16980246542526  2.93425225201583   29.402836858019;
1524643683669290374;-2.17919274884038  1.00554411310569                 0;-3.10923981339394   2.8840595998949  29.0834544397628;
1524643684069618764;-2.17919274884038  1.00554411310569                 0;-2.98350182365915  2.87591826657761   28.979821765868;
1524643684469061361;-2.17919274884038  1.00554411310569                 0;-2.52284818955091  2.77377392110809  28.7764677831872;
1524643684871181332;-2.17919274884038  1.00554411310569                 0;-2.66818306906712  2.57996583439715   28.432785111086;
1524643685469191475;-2.17919274884038  1.00554411310569                 0;-2.83028301672415   2.5283991034306  28.0283999335805;
1524643685870080773;-2.17919274884038  1.00554411310569                 0;-3.0476204175765 2.88061413618856 28.2803449135877;
1524643686269022020;-2.17919274884038  1.00554411310569                 0;-3.58272147608975  3.62426163908404  29.0068132042577;
1524643686869020480;-1.4303833315371 2.37210950945795                0;-4.02128673630415  4.66140386071654    29.54002587701;
1524643687268816368;-1.4303833315371 2.37210950945795                0;-4.64503934001809  5.49796292858538  30.0252198440152;
