KF_Time;KF_States;KF_Covariance;
1524643667677099035; 0  4 17  0  0  0  1  0 17;0.300000011920929 0.300000011920929               0.5 0.349999994039536 0.349999994039536 0.379999995231628                 2                 2                 2;
1524643667868205926; 0  4 17  0  0  0  1  0 17;0.300000011920929 0.300000011920929               0.5 0.349999994039536 0.349999994039536 0.379999995231628                 2                 2                 2;
1524643668068199433; 0  4 17  0  0  0  1  0 17;0.300000011920929 0.300000011920929               0.5 0.349999994039536 0.349999994039536 0.379999995231628                 2                 2                 2;
1524643668268830500;   0.91811291755564    3.62838109424557    16.7757294154405  -0.743934844012092 -0.0604112119551955  -0.051873657253985   -3.11101832259605   -3.19890515906017     16.326339912136;0.374430161406022 0.374430161406022 0.585154883356733 0.306366923982954 0.306366923982954 0.322639282459644  1.24168432621497  1.24168432621497  1.71681692556333;
1524643668468273304;   0.91811291755564    3.62838109424557    16.7757294154405  -0.743934844012092 -0.0604112119551955  -0.051873657253985   -3.11101832259605   -3.19890515906017     16.326339912136;0.374430161406022 0.374430161406022 0.585154883356733 0.306366923982954 0.306366923982954 0.322639282459644  1.24168432621497  1.24168432621497  1.71681692556333;
1524643668670019349;   1.30108694138208    3.51926173442522    16.5767642702233   -1.16826141167191 -0.0304146433092526 -0.0850033365899122   -4.76267258122188   -4.32462521182382    15.8845013673999; 0.46858372771331  0.46858372771331 0.683043618527784 0.284147467355601 0.284147467355601 0.294747082011702 0.969584855600573 0.969584855600573  1.52478967295469;
1524643668868342237;   1.30108694138208    3.51926173442522    16.5767642702233   -1.16826141167191 -0.0304146433092526 -0.0850033365899122   -4.76267258122188   -4.32462521182382    15.8845013673999; 0.46858372771331  0.46858372771331 0.683043618527784 0.284147467355601 0.284147467355601 0.294747082011702 0.969584855600573 0.969584855600573  1.52478967295469;
1524643669068201501;   1.30108694138208    3.51926173442522    16.5767642702233   -1.16826141167191 -0.0304146433092526 -0.0850033365899122   -4.76267258122188   -4.32462521182382    15.8845013673999; 0.46858372771331  0.46858372771331 0.683043618527784 0.284147467355601 0.284147467355601 0.294747082011702 0.969584855600573 0.969584855600573  1.52478967295469;
1524643669268828483;    1.93040102186708     3.56630319392067      16.374136583798    -1.47222880055764 -0.00166137818870857   -0.112205987583669    -5.56992226936037     -4.8326182544965     15.5871646710811;0.656150440173866 0.656150440173866 0.886528107072605 0.268226462859218 0.268226462859218 0.278987816926521 0.845840189993704 0.845840189993704  1.39105471326338;
1524643669468203405;    1.93040102186708     3.56630319392067      16.374136583798    -1.47222880055764 -0.00166137818870857   -0.112205987583669    -5.56992226936037     -4.8326182544965     15.5871646710811;0.656150440173866 0.656150440173866 0.886528107072605 0.268226462859218 0.268226462859218 0.278987816926521 0.845840189993704 0.845840189993704  1.39105471326338;
1524643669670022884;  2.15602714383337   3.65322125381971   16.2147776103636  -1.61475364591821 0.0674438227276185 -0.123026981196586  -5.97567162322169  -5.08036112232558   15.3731182014351;0.756284664172614 0.756284664172614 0.999447844301742 0.260608936812705 0.260608936812705 0.271069332981009 0.780057566609073 0.780057566609073    1.294685861055;
1524643669868226265;  2.15602714383337   3.65322125381971   16.2147776103636  -1.61475364591821 0.0674438227276185 -0.123026981196586  -5.97567162322169  -5.08036112232558   15.3731182014351;0.756284664172614 0.756284664172614 0.999447844301742 0.260608936812705 0.260608936812705 0.271069332981009 0.780057566609073 0.780057566609073    1.294685861055;
1524643670071671398;  2.36914185777767   3.81616112884328   16.0587430299467  -1.66835982881371  0.151376707851183 -0.125786017018672  -6.18165746684235  -5.19733392300063   15.2103300473039;0.846436924135539 0.846436924135539  1.10706971203841  0.25657592583892  0.25657592583892 0.267013150707766 0.742813689326523 0.742813689326523  1.22391819525535;
1524643670268309672;  2.36914185777767   3.81616112884328   16.0587430299467  -1.66835982881371  0.151376707851183 -0.125786017018672  -6.18165746684235  -5.19733392300063   15.2103300473039;0.846436924135539 0.846436924135539  1.10706971203841  0.25657592583892  0.25657592583892 0.267013150707766 0.742813689326523 0.742813689326523  1.22391819525535;
1524643670468316142;  2.36914185777767   3.81616112884328   16.0587430299467  -1.66835982881371  0.151376707851183 -0.125786017018672  -6.18165746684235  -5.19733392300063   15.2103300473039;0.846436924135539 0.846436924135539  1.10706971203841  0.25657592583892  0.25657592583892 0.267013150707766 0.742813689326523 0.742813689326523  1.22391819525535;
1524643670669805344;  2.70839232973775   4.08918392437995   15.8852715021934  -1.68942477312965  0.228823462610165 -0.129379144881694  -6.28481929260029  -5.25147987107342    15.086529148619; 1.00919129337711  1.00919129337711  1.31527481443432  0.25042005903334  0.25042005903334 0.263538108621419 0.723160803503833 0.723160803503833  1.17281127042118;
