KF_ArUco_Time;KF_ArUco_pos_NED;
1525176464000535457;0.0718312296671139  0.106956543908797  0.606296391511717;
1525176464200601723;0.0718312296671139  0.106956543908797  0.606296391511717;
1525176468600416740;0.167717309483675 -0.40193250677507  4.21343648235553;
1525176468800534506;-0.278557836947128 -0.330546713015748   4.46601009279532;
1525176469000446044;-0.278557836947128 -0.330546713015748   4.46601009279532;
1525176469200484269;-0.870010201413527 -0.265116385979012   4.36836529436089;
1525176475602632818;-1.27855200352219  1.38094637908536   5.1591613009709;
1525176477600440604;-0.652029896764157  0.493274450040516   4.42293572109402;
1525176477800576973;-0.681365759811065  0.491578784950246   4.35856584695728;
1525176478000403073;-0.681365759811065  0.491578784950246   4.35856584695728;
1525176478200408733;-0.657700090095069  0.490930069047822   4.29375535174274;
1525176478600442947;-0.506694707467326  0.219815920632496   3.76594260251168;
1525176478800398494;-0.506694707467326  0.219815920632496   3.76594260251168;
1525176479000452628; -0.4651122975275 0.171292581072008  3.52684365707796;
1525176479200492873;-0.480002325785266  0.199865171840029   3.28420629561652;
1525176480400403583;-0.307260216234369 -0.550449537375287   1.82288473774497;
1525176481600440286;-0.0842987659773582   -0.16801226139409    1.15899339488023;
1525176481800449249;-0.0279057648502384 -0.0050696047664667    1.14412438154194;
1525176482000572208;-0.00304971140923039   0.0534002427919433     1.10342527612616;
1525176482200425246;-0.00304971140923039   0.0534002427919433     1.10342527612616;
1525176482400453476;-0.00284737238572282   0.0781878277555958     0.95484598776049;
1525176482600450194;-0.0051356975766747  0.0713742194000035   0.821069159007628;
1525176482800504239;-0.0051356975766747  0.0713742194000035   0.821069159007628;
1525176483000469981;0.00566826010574702  0.0900597499085114   0.725644592779024;
1525176483200439754;0.0169423221165686  0.129671234321042  0.624443895997754;
