KF_Time;KF_States;KF_Covariance;
1525176462709589834;-0.000181736487664155   0.00109540999297817  0.000131031518498103                     0                     0                     0      2.86335635067887     -2.64128552310499     -5.37512344196084;    7.36359961117942     7.36359961117942     29.3109984415153 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0101999997714302   0.0101999997714302   0.0299999993294477;
1525176462800609005;0.000363516762914962   0.0109593323924161 0.000794228443392256                    0                    0                    0     2.86335635067887    -2.64128552310499    -5.37512344196084;    7.40459962059673     7.40459962059673     29.3519984509326 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0102999997689039   0.0102999997689039   0.0399999991059303;
1525176462900363090;0.00107363223900028  0.0224869527039791 0.00144791281246846                   0                   0                   0    2.86335635067887   -2.64128552310499   -5.37512344196084;    7.44559963167991     7.44559963167991     29.3929984620158 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0103999997663777   0.0103999997663777   0.0499999988824129;
1525176463002905295;   0.0234126470020364    0.0168392988274987   -0.0250052120044442 -2.99853607419161e-12 -9.37089351446282e-14                     0      2.86335750771165     -2.64128644417961     -5.37516030756416;    3.70699737802603     3.70699737802603     14.6959337468226 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0104999889452923   0.0104999889452923   0.0599727432757427;
1525176463100314110; 0.0245279516082525   0.027314916510635 -0.0253313093508517                   0                   0                   0    2.86335750771165   -2.64128644417961   -5.37516030756416;    3.74799738912756     3.74799738912756     14.7369337579241 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0105999889427661   0.0105999889427661   0.0699727430522253;
1525176463200528816; 0.0238478439618958  0.0373815465658776 -0.0245474068069135                   0                   0                   0    2.86335750771165   -2.64128644417961   -5.37516030756416;     3.7889974003035      3.7889974003035     14.7779337691001 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0106999889402399   0.0106999889402399   0.0799727428287079;
1525176463300313628; 0.0242274264562281  0.0476741505221152 -0.0196491231036189                   0                   0                   0    2.86335750771165   -2.64128644417961   -5.37516030756416;    3.82999741139252     3.82999741139252     14.8189337801891 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0107999889377136   0.0107999889377136   0.0899727426051905;
1525176463400429960; 0.0225468043064146  0.0628696161947602 0.00739953003497568                   0                   0                   0    2.86335750771165   -2.64128644417961   -5.37516030756416;    3.87099742254851     3.87099742254851     14.8599337913451 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0108999889351874   0.0108999889351874   0.0999727423816731;
1525176463501380613;   0.0252367053615861    0.0450609421868603    0.0164510800496155 -2.99853607419161e-12 -9.37089351446282e-14                     0      2.86335828881225     -2.64129234190834     -5.37524477538578;    2.55458580852115     2.55458580852115     9.90224669327882 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0109999455178525   0.0109999455178525    0.109862054434767;
1525176463600506780;0.0443992745989409 0.0742161882529697  0.146045148358415                  0                  0                  0   2.86335828881225  -2.64129234190834  -5.37524477538578;    2.59558581968032     2.59558581968032     9.94324670443799 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0110999455153263   0.0110999455153263     0.11986205421125;
