KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525075845299422438;  -0.12705446890113 -0.0275165755909394                  -0; -25.9382754543181 -0.221375612631516   10.1836799063966;
1525075845698936889;  -0.12705446890113 -0.0275165755909394                  -0; -25.8936546866112 -0.249380168401316   10.1776096362991;
1525075846299036948;  -0.12705446890113 -0.0275165755909394                  -0; -25.8044674758607 -0.294084338996191   10.1796370065478;
1525075846699244153;  -0.12705446890113 -0.0275165755909394                  -0; -25.7375626711877 -0.316429453995442   10.1397084428078;
1525075847098973545;  -0.12705446890113 -0.0275165755909394                  -0; -25.5368854402299 -0.260590830646095   10.1139138356017;
1525075847698906054;  -0.12705446890113 -0.0275165755909394                  -0;-25.2135322719569 -0.18802156053212  10.1272694287024;
1525075848098992172;  -0.12705446890113 -0.0275165755909394                  -0; -24.7789380162278 -0.132194800699742   10.1513664517571;
1525075848499359626;  -0.12705446890113 -0.0275165755909394                  -0;  -23.9765549915955 -0.0987551597619287    10.1755578247719;
1525075848899062547;  -0.12705446890113 -0.0275165755909394                  -0;  -22.7509304718135 -0.0875909935896861    10.1796467255108;
1525075849499038226; -0.0195468413694046 -0.00423331932168298                   -0; -21.3246636966258 -0.176902335101037   10.1169524750916;
1525075849899076751; -0.0195468413694046 -0.00423331932168298                   -0; -19.9542365301027 -0.299759596579545   10.1139708704316;
1525075850298936272; -0.0195468413694046 -0.00423331932168298                   -0;-18.5168859887329 -0.34438317862481   10.146214474287;
1525075850898881927; -0.0195468413694046 -0.00423331932168298                   -0; -17.4471629221863 -0.310900571391759   10.1103960044318;
1525075851299197144; -0.0195468413694046 -0.00423331932168298                   -0; -16.2548175784897 -0.271773958271357   10.0747919454747;
1525075851699224904; -0.0195468413694046 -0.00423331932168298                   -0; -15.0291726320262 -0.254982295750847   10.0489920825172;
1525075852298902335; -0.0195468413694046 -0.00423331932168298                   -0; -13.8926594207123 -0.238275891921304   10.0630349300645;
1525075852699437876; -0.0195468413694046 -0.00423331932168298                   -0; -12.7227981396197 -0.227092755463033   10.0660690524719;
1525075853099055358; -0.0195468413694046 -0.00423331932168298                   -0; -11.8427119480987 -0.238224320694601   10.0899905506054;
1525075853699052354; -0.0195468413694046 -0.00423331932168298                   -0; -10.6840156290727 -0.294023021728523   9.96203534892637;
1525075854099077028;-0.0488671034235114 -0.0105832983042075                  -0; -9.64792200392701 -0.361037557408889   9.73291936851487;
1525075854498942605;-0.0488671034235114 -0.0105832983042075                  -0; -8.61182716988236 -0.433681103455041   9.45772244757382;
1525075855099043134;-0.0488671034235114 -0.0105832983042075                  -0; -7.55351263847108 -0.489444599521456   9.34266142730974;
1525075855499014112;-0.0488671034235114 -0.0105832983042075                  -0; -6.78479880897948 -0.539647822781093   9.32767979288981;
1525075855898919537;-0.0488671034235114 -0.0105832983042075                  -0; -5.70420546705395 -0.573043056669034    9.4056708056472;
1525075856499024096;-0.0488671034235114 -0.0105832983042075                  -0; -4.62341562059276 -0.556303604423741   9.44874837753216;
1525075856899049700;-0.0488671034235114 -0.0105832983042075                  -0; -3.91017069682842 -0.578568164599785   9.46317711752417;
1525075857299659700;-0.0488671034235114 -0.0105832983042075                  -0; -3.06342321659041 -0.712463338155108   9.46538770639573;
1525075857899178846;-0.0488671034235114 -0.0105832983042075                  -0;-2.46164286779388 -0.81851820990911  9.40168174423643;
1525075858300069780;-0.0488671034235114 -0.0105832983042075                  -0;-2.16071760927898 -0.86869812333301  8.76198932404016;
1525075858699359247; -0.0390936827388091 -0.00846663864336596                   -0; -2.12714276108482 -0.902152102289428   8.17632039763777;
1525075859099233009; -0.0390936827388091 -0.00846663864336596                   -0; -2.06027366367345 -0.935648243340174   7.68236880534202;
1525075859699608825; -0.0390936827388091 -0.00846663864336596                   -0;-2.12706761117154  -1.0751953069389  7.08855469448195;
1525075860099047748; -0.0390936827388091 -0.00846663864336596                   -0;-2.19402822401598 -1.12532098530073  6.66262072729183;
1525075860499150007; -0.0390936827388091 -0.00846663864336596                   -0;-2.12733022508867 -1.05259931700704  6.15862497450252;
1525075861098850599; -0.0390936827388091 -0.00846663864336596                   -0;-2.06051739742804  -1.0525062085851  5.60074208159043;
1525075861499528277; -0.0390936827388091 -0.00846663864336596                   -0;-2.06044896003746 -1.13627958827049  5.13282681545232;
1525075861899052186; -0.0390936827388091 -0.00846663864336596                   -0;  -1.982466751996 -1.20327883116869  4.60383225976149;
1525075862499032304; -0.0390936827388091 -0.00846663864336596                   -0;-1.81531950628907 -1.24239312573634  4.06782554252021;
1525075862899034868; -0.0390936827388091 -0.00846663864336596                   -0;-1.45875311317006 -1.27036572670946  3.57279195490885;
1525075863299102814; -0.107507627531725 -0.0232832562692564                  -0;-1.13571229847718 -1.27046632628862  3.27651076189978;
1525075863899447736; -0.107507627531725 -0.0232832562692564                  -0;-0.500732837968396  -1.21465245845511   2.85433083514331;
1525075864299607475; -0.107507627531725 -0.0232832562692564                  -0;0.0115681631138678  -1.11972216621454    2.3130123423821;
1525075864699536098; -0.107507627531725 -0.0232832562692564                  -0;0.367977922043153 -0.97456787022694  1.73577654310025;
1525075865299575290; -0.107507627531725 -0.0232832562692564                  -0;   0.6908297802993 -0.868383514860469   1.21054717578081;
1525075865699071226; -0.107507627531725 -0.0232832562692564                  -0;  1.05840398341644 -0.823715938868334  0.621393227942846;
1525075866099371608; -0.107507627531725 -0.0232832562692564                  -0;   1.3925935164204 -0.935506806819877 0.0461047776597923;
1525075866699476587; -0.107507627531725 -0.0232832562692564                  -0;  1.65985957634219  -1.11982513582943 -0.506183078826384;
