KF_ArUco_Time;KF_ArUco_pos_NED;
1527252244826798095;  6.01189202759978 -0.971084537681402   16.2510385781089;
1527252244826798095;  6.01189202759978 -0.971084537681402   16.2510385781089;
1527252245160106196;  5.38776030788457 -0.786720951109266   16.2906966552553;
1527252245160106196;  5.38776030788457 -0.786720951109266   16.2906966552553;
1527252246160030495; 4.29664481718438 -0.78750939920593  15.9041402780125;
1527252246160030495; 4.29664481718438 -0.78750939920593  15.9041402780125;
1527252251159651695;     3.811049580547 -0.0659596899353951    14.7065351164198;
1527252251159651695;     3.811049580547 -0.0659596899353951    14.7065351164198;
1527252251826267895;  3.91834986396081 -0.254540524360506   14.6368942307922;
1527252254159424395;  2.18514102898658 -0.209849753008734   15.0382714593557;
1527252254159424395;  2.18514102898658 -0.209849753008734   15.0382714593557;
1527252254159424395;  2.18514102898658 -0.209849753008734   15.0382714593557;
1527252256825889095; 2.81489222386195 0.328970017480372   14.956241620089;
1527252256825889095; 2.81489222386195 0.328970017480372   14.956241620089;
1527252260158969895; 3.07204824467011 0.015823029615344  15.0747302587546;
1527252260158969895; 3.07204824467011 0.015823029615344  15.0747302587546;
1527252260825586095; 3.23129790085963 0.262296975656029  15.0210881185757;
1527252263825358796;   3.21920398559254 -0.0632889475668772    15.1296120954899;
1527252265825207295;  3.09891081857988 -0.176042633610078   14.9786089895013;
1527252266158515395;  3.35500339714926 -0.249419693082926   15.0879052164162;
1527252266158515395;  3.35500339714926 -0.249419693082926   15.0879052164162;
1527252268824979995;    3.1597374970832 -0.0782994371050404    14.8259177722774;
1527252268824979995;    3.1597374970832 -0.0782994371050404    14.8259177722774;
1527252269158288095;  3.41350342838299 -0.161901882401046   15.0311709552858;
1527252269158288095;  3.41350342838299 -0.161901882401046   15.0311709552858;
1527252272824676995;  4.3552873732407 0.075411599260404  14.7943750086443;
1527252276157757795;  4.77508967932654 -0.305840351866749   14.8504096927364;
1527252276157757795;  4.77508967932654 -0.305840351866749   14.8504096927364;
1527252279157530495; 4.72371112349045 0.195726559855369  14.9233554610198;
1527252279157530495; 4.72371112349045 0.195726559855369  14.9233554610198;
1527252279157530495; 4.72371112349045 0.195726559855369  14.9233554610198;
1527252279824146695; 5.15143652090292 0.114392302878707  15.0019422766409;
1527252283823843695;  5.4128407397494 0.268828145538629  14.9912445631939;
1527252285823692196;   4.9402289910891 0.0208784186889914   15.1799527385774;
1527252286157000295; 4.87809543054027 0.110665839918266  15.0308611132521;
1527252286157000295; 4.87809543054027 0.110665839918266  15.0308611132521;
1527252286157000295; 4.87809543054027 0.110665839918266  15.0308611132521;
1527252287156924495; 4.72536425597817 0.139801419653195  14.8627681192468;
1527252287156924495; 4.72536425597817 0.139801419653195  14.8627681192468;
1527252288156848695; 4.06213316070082 0.366960282644219  14.9717010410602;
1527252288156848695; 4.06213316070082 0.366960282644219  14.9717010410602;
1527252289156772996; 3.61113424822458 0.747598363184608  14.9300987867899;
1527252289156772996; 3.61113424822458 0.747598363184608  14.9300987867899;
1527252293156469995; 4.48486216891197 0.672812429916439  15.0910802760881;
1527252293156469995; 4.48486216891197 0.672812429916439  15.0910802760881;
1527252296156242695;   3.75212295565923 -0.0783818562174577     15.087501370494;
1527252296156242695;   3.75212295565923 -0.0783818562174577     15.087501370494;
1527252296156242695;   3.75212295565923 -0.0783818562174577     15.087501370494;
1527252297489474995;  3.87551457011524 0.0279850878196897   15.0607947354393;
1527252301822480095; 4.52038190650576 0.382420145160206  14.9895617662851;
1527252301822480095; 4.52038190650576 0.382420145160206  14.9895617662851;
1527252302155788195; 4.66011674346743 0.267253677552876  14.9314166694797;
1527252302155788195; 4.66011674346743 0.267253677552876  14.9314166694797;
1527252307155409395; 4.58065903495735 0.522300577670686  14.9489463538402;
1527252307155409395; 4.58065903495735 0.522300577670686  14.9489463538402;
1527252307155409395; 4.58065903495735 0.522300577670686  14.9489463538402;
1527252309821874095;    3.62455819885082 -0.00858265834301819     15.2167933748135;
1527252311821722495;  4.01855177950367 0.0154718858699636   15.1108569245458;
1527252312155030596; 3.95466605215455 0.124017461988849  15.0172264631928;
1527252312155030596; 3.95466605215455 0.124017461988849  15.0172264631928;
1527252312155030596; 3.95466605215455 0.124017461988849  15.0172264631928;
1527252314821495296;   3.19343422257464 -0.0982531242725653    14.8603576510251;
1527252316154727595; 3.88448287534016 0.066566323819395  14.8393701872256;
1527252316154727595; 3.88448287534016 0.066566323819395  14.8393701872256;
1527252316821343795;  3.50728823171319 0.0265951363332058   15.0431379016455;
1527252316821343795;  3.50728823171319 0.0265951363332058   15.0431379016455;
1527252317154651896;   4.4430522757371 0.0180752575950219   14.8027461344125;
1527252317154651896;   4.4430522757371 0.0180752575950219   14.8027461344125;
1527252318154576096;  3.24978488039964 0.0176888721509332   14.9698728329111;
1527252318154576096;  3.24978488039964 0.0176888721509332   14.9698728329111;
1527252318154576096;  3.24978488039964 0.0176888721509332   14.9698728329111;
