KF_Time;KF_States;KF_Covariance;
1527252244566188995;  5.01709831997959 -0.997988432970025                 16   1.70000004768372  0.200000002980232                  0                  6                  1                 42; 0.144101255000756  0.144101255000756  0.414101250828431 0.0624000011011958 0.0624000011011958 0.0624000011011958 0.0281000008617411 0.0281000008617411   0.61000002361834;
1527252244636993509;  5.13746599715582 -0.983827529959011                 16   1.70000004768372  0.200000002980232                  0                  6                  1                 42; 0.148531744724106  0.148531744724106  0.418531740551781  0.112400001846254  0.112400001846254  0.112400001846254 0.0282000008592149 0.0282000008592149  0.620000023394823;
1527252244738890343;  5.31069061981464 -0.963448162855335                 16   1.70000004768372  0.200000002980232                  0                  6                  1                 42;   0.1547246081125    0.1547246081125  0.424724603940174  0.162400002591312  0.162400002591312  0.162400002591312 0.0283000008566887 0.0283000008566887  0.630000023171306;
1527252244840021943;   5.07660072888713  -0.976634052872682    15.9960431768682    1.67053677467968   0.224888563847255 0.00592845997883617    5.98134998586752    1.00155425650068    41.9956815143073;  0.15082506636693   0.15082506405163  0.415287234174671 0.0528579610431735 0.0528575309578751 0.0571200141890502 0.0281769208778781 0.0281769213590906  0.612874092833012;
1527252244941059224;  4.79361191447388 -0.982222444020855   15.9902277524712   1.67238484461168   0.22453462402179 0.0056505487010019   5.95364139335094    1.0049019471153   41.9887445139608;  0.14303615938763  0.143036179988042  0.399148286991774 0.0514156337056122 0.0514154223526711 0.0534954186869459 0.0278902253370518 0.0278902265256352  0.577428762496952;
1527252245032031889;    4.6227797351267  -0.993803037545051    15.9886551852074    1.67061000260906   0.224672421569688 0.00462603826690103    5.94364988369498    1.00665319159599    41.9859094884204; 0.141699035040614  0.141699061771394    0.3948079261591  0.052753388901887 0.0527529891060644  0.056536629100993 0.0278217112965511 0.0278217127422949  0.568083487308388;
1527252245133181558;   4.45577326069307   -1.00742803512405    15.9861087895354    1.66920295345407   0.222247651282764 0.00349773883645753    5.93635276937091    1.00852249201565    41.9833475552081; 0.140534441971836  0.140534473057386  0.391265333959147 0.0527453186453837 0.0527449204452572 0.0565604540610938 0.0277666877332632 0.0277666893879477  0.560258187187811;
1527252245234459689;   4.29970255648541   -1.02059865096495    15.9836316532332    1.66970610668694   0.219991941078595 0.00233811192167467    5.93108534517612    1.01046189341979    41.9810571532704; 0.139523958526378  0.139523993232224  0.388396988834501 0.0527452967727118 0.0527448985829242 0.0565607746287137  0.027723957087364 0.0277239589099034  0.553742269435399;
1527252245335284195;    4.67057261982617    -1.01744483801012     16.1797783498125     1.68753969722538    0.209647857501067 0.000546626625944523     5.89532505929531     1.01376967994581     41.9234413215292;0.0954144650587559 0.0954144882360648  0.106919834536461 0.0514378464459532 0.0514376549400064 0.0535332559305951 0.0274399712877811 0.0274399738953436   0.51427397138122;
1527252245436458973;     4.54377077459954     -1.03752042464311       16.180111642756      1.68701243777461     0.209077888105607 -0.000982734062099523      5.89176648243219      1.01589253198311      41.9165118098678;0.0972649326231803 0.0972649569496027  0.110660076355025 0.0528517144259753 0.0528513901919892 0.0566986493225171 0.0274028463948558 0.0274028492345305  0.507717725920953;
