KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527250304310391903;-0.0108156885015604 0.00585285632662744 0.00882826247278266; 15.0760115749212 0.204933787475765   58.995063519663;
1527250304410396814;-0.000887264125016169  -0.00235351725059654   0.00730073470129436;15.0908369692336  0.1997932974276 58.9936202873651;
1527250304480404854;-0.00386770371142845 -0.00577380152815839  0.00710249770399655;15.0901456214247    0.20025710002   58.99410037688;
1527250304560413837;-0.00253716841838964 -0.00570245654612244  0.00551853422763405; 15.0892959246305 0.200095947786962  58.9945762868567;
1527250304630417824;-0.00464450358069617 -0.00519488267090542  0.00330703253785202; 15.0884842240887 0.199376620575902  58.9948628377706;
1527250304700417042;-0.00683599580269872 -0.00817485427987103 0.000779378811695719;15.0874929520798 0.19801730372974 58.9950082982932;
1527250304740427971;-0.00659025362135293 -0.00705865029126202 -0.00101978730544367; 15.0868607802552 0.196994742239058   58.995006806447;
1527250304830426931;-0.00811006096947517 -0.00714293531057894 -0.00392774058547796; 15.0854851387401 0.194150622599686  58.9948221524658;
1527250304880434036; -0.0107606809965871 -0.00635555878953865 -0.00635608062834275;15.0846611374487 0.19229705440594 58.9945840566925;
1527250304970444918; -0.0115597828588867 -0.00422997184838365 -0.00870847325973203; 15.0832594410339 0.188679238150148  58.9939471159564;
1527250305050446033;  -0.0119740060453853 -0.000767839033210168   -0.0101800735230697; 15.0820158729687 0.185442375963202   58.993191578058;
1527250305140453815;-0.0126704740574558 0.00127479681095114 -0.0121466052566256;  15.080835653493 0.182098556077872  58.9922000488118;
1527250305220463991;-0.0175338997618028 0.00377233634322906 -0.0117730508178059; 15.0798903080678 0.179714349160958  58.9912304684498;
1527250305300467968;-0.0169157412982353 0.00309627072132392 -0.0104340332171171; 15.0817776645629 0.177323954586245  58.9897960867915;
1527250305390472889; -0.0192145553086504  0.00731505717858529 -0.00930682497816418; 15.0809155101637 0.176484432828393  58.9888094765061;
1527250305470480919; -0.0129722434579574  0.00184776509403533 -0.00831722979196992; 15.0955741049354 0.167814023361971  58.9855564695341;
1527250305520483971; -0.0166875323518685  0.00441537573804785 -0.00780296186917034;15.0954598924765 0.16813239565359 58.9851468513232;
1527250305600486994;  -0.016121773695708  0.00784288243644154 -0.00525949549786908; 15.0950125098391 0.169253190311087   58.984631691846;
1527250305690500975; -0.0196608739768445    0.010730473064594 -0.00224553511653363;  15.094219733524 0.171704972112163  58.9842933508175;
1527250305760500908;   -0.022714393239168    0.0125504465837553 -0.000714215836792642;15.0932059529937 0.17422131622739  58.984175296558;
1527250305860512972;-0.0256458985332182  0.0126026529645849 0.00182589843785475; 15.0912144820271 0.178387894461821  58.9842038483257;
1527250305920516968;-0.0258636601922501  0.0151332496154484 0.00178513127339259; 15.0898355131338 0.180960103383097  58.9842997809572;
1527250306010519981;-0.0276367555038717  0.0154965347829589 0.00321466058302019;15.0874121979511 0.18482252415694 58.9845307234906;
1527250306060525894;-0.0261462699231845  0.0170268385377271 0.00290377593913523;  15.086021502196 0.186718311915832  58.9846679274595;
1527250306140537024;-0.0259941194775666  0.0165800636413622 0.00294699492530387;15.0835542995972 0.18962396216394 58.9849076884226;
1527250306230538845;-0.0260146089192018  0.0174124371611481  0.0022317369745327; 15.0833675056481 0.191451353292353  58.9846315671974;
1527250306280545950;-0.0268833694000064   0.017756173915133  0.0025783683882747;  15.081862160391 0.192853997718434  58.9847529827645;
1527250306370553970;-0.0263790084702783  0.0177762237053584 0.00261601401664821; 15.0791315310709 0.195055953991335  58.9849547857564;
1527250306420552015;-0.0173163256666242   0.010873279709752 0.00183938605415169; 15.0912540707663 0.188806296157784  58.9864512392034;
1527250306510556936; -0.0155133144527587   0.0105107005713506 0.000900801943879649; 15.0894161606157 0.189727299715949  58.9866173321208;
1527250306560564041;-0.0161111452802536 0.00857007139892421 0.00163089581738023; 15.0884406666396 0.190149356177097  58.9867245321474;
1527250306640568018;-0.0157488820028577 0.00943821558659801 0.00187218670120931;  15.086895381597 0.190706044289639  58.9869444826397;
1527250306730576038;-0.0146234742974656 0.00894399827797126 0.00312054812188482; 15.0963040620648 0.208239653224508  58.9872459707914;
1527250306780581951;-0.0140285184182896  0.0103976682908127 0.00348205152317632; 15.1065167501427 0.219781402938763  58.9874603852608;
1527250306870592833;-0.0144662952263288  0.0100974082056997 0.00455565771158629; 15.1046291278865 0.220155909304787  58.9879014141101;
1527250306920588970;-0.0143900979222782 0.00722335774767631 0.00602424309883496;  15.114726292012 0.225944665635444  58.9781707067087;
1527250307010601044; -0.014942228717479 0.00647427617126077 0.00709404628193774; 15.1126179745643 0.226111967380569  58.9787160467666;
1527250307060607910;-0.0137198559678468 0.00754697025143335 0.00745548816856642;15.1114542616479 0.23179312369644 58.9790430201538;
1527250307150614023;-0.0138192534338686 0.00746468315964545 0.00639149562802989; 15.1203384614643 0.237192602787157  58.9796022993953;
1527250307200614929;-0.0161349332213956  0.0061296326621434  0.0059762580678412; 15.1190166304049 0.236987240027243  58.9799110407118;
1527250307280619860;-0.0153639761246897 0.00835550208658689 0.00528193275842234; 15.1303194547542 0.235663195397339   58.980736934595;
1527250307370630026;  -0.01560815189624 0.00783070641998623 0.00451949302134742; 15.1281753503709 0.234990515920833  58.9811701134987;
1527250307420631886;-0.00882094961449107  0.00184244963317539  0.00293928567564461; 15.1371322170176 0.224550462145038   58.970612053604;
1527250307510641813;-0.0103889286891941 0.00352794376329776 0.00142811743361565; 15.1472714711638 0.223360596289335  58.9808685648943;
1527250307560644865;-0.0105167410418383 0.00389485786429189 0.00256875579742821; 15.1468005988163 0.222775983106871  58.9809823578004;
1527250307650651932;-0.0115065520979235 0.00550840476114102 0.00206988665657793;15.1573628170516 0.21653893389663 58.9811546498822;
1527250307710652828;-0.0115040441545474 0.00386968549800343 0.00100686403966565; 15.1572559757145 0.216461949940628  58.9812398731073;
1527250307800663948;-0.0114846736975811 0.00587182953439504 0.00170286197943577; 15.1573012631333 0.211183016568637  58.9813967048519;
1527250307870668888;-0.0132173794123993 0.00858367413341084  0.0030448312186576; 15.1685781893748 0.200563592139255  58.9815431415092;
1527250307950672865;-0.0112519576607033 0.00879294262681952 0.00277402823627806; 15.1688229237869 0.201896720473221  58.9817316462427;
