KF_ArUco_Time;KF_ArUco_pos_NED;
1525871077899108007;   -0.105071281640485 -0.000681201309090974     0.481096682726295;
1525871077899108007;   -0.105071281640485 -0.000681201309090974     0.481096682726295;
1525871078899032206;-0.512088243666444  0.223328840894228   3.00309268999388;
1525871079232340306;-0.402272519595254  0.400720184766323   4.06900186902221;
1525871079565648406;-0.954119484120934 -0.350446960917155   5.22684754808324;
1525871080232264506;-2.59432082595904 -1.50975279149943  6.79760882856457;
1525871113896380806;-4.69137062920454 -3.12220744459523  14.5339292866362;
1525871114229688907;-3.80893778319666 -2.71676320851014  14.4482522218362;
1525871114562997006;-3.25238739967606 -1.67814413162642  14.3764993691953;
1525871115896229306;0.721165888893395  1.40177703294506  14.4100742052716;
1525871116229537406;1.92630604698394 1.75547955562157 14.6022354323115;
1525871116562845406;2.45041834271083 1.76023670149678 14.6718375844202;
1525871116896153506;3.37000470160865 2.60126300798281 14.5912754416251;
1525871116896153506;3.37000470160865 2.60126300798281 14.5912754416251;
1525871118229385806;  0.533754811114497 -0.0606078198341828     15.127126642094;
1525871118562693907;-0.825813348316895 -0.555122617763536    14.895561752086;
1525871118896002006;-0.0335979398269091  -0.430390986256433    15.0029399740523;
1525871119229310107;0.744006144684723 0.372537728897394  14.4701661724287;
1525871119562618206; 1.21910129619233 0.805056728503138  14.3850486681776;
1525871119895926206; 1.10822571263598 0.483054799461856  14.2108615015648;
1525871120229234306; 0.52237940817858 0.150683967199815  14.1829266518878;
1525871120562542406;0.0765089763096601 0.0269729011295812   14.0341849412486;
1525871120895850506;-0.0475117284070303    0.35181242107731    13.8559389572825;
1525871121229158606;-0.296430678495948  0.496602580796173    13.598691605431;
1525871121562466606;-0.193161661253547  0.410467421914542   13.4386850587096;
1525871121562466606;-0.193161661253547  0.410467421914542   13.4386850587096;
1525871121895774806;-0.544872869433176 0.0989279078672036   13.1956416784425;
1525871122229082806;-0.454749138916904 -0.079217414623086   13.0183589818337;
1525871122562390906;0.0286097870503088 -0.281437196145865   12.8263724452595;
1525871122895699006;-0.0851738818138248  -0.109132496329884    12.7261178829129;
1525871123229007106;-0.255275797370466 0.0680423521212325   12.5121612059325;
