KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525871077531740944;-0.0282458809408154 -0.0101079280704446                  -0;-16924.5289630485  9920.63219925843   33.129417701967;
1525871077995713036; -0.254101596298688 -0.0912818643458752                  -0;-16924.6180684336  9920.68243218522  33.3704619080866;
1525871078469055932; -0.254101596298688 -0.0912818643458752                  -0;-16924.9027027125  9920.79269953513  34.4556101267854;
1525871078931693118; -0.254101596298688 -0.0912818643458752                  -0;-16925.036431183 9920.79113864162 35.6287651933908;
1525871079404291909; -0.254101596298688 -0.0912818643458752                  -0;-16925.1082235696   9920.6993400926  36.9927332489506;
1525871079861938994; -0.254101596298688 -0.0912818643458752                  -0;-16925.5631213599  9920.12663253141  38.4392098729377;
1525871080326226990; -0.254101596298688 -0.0912818643458752                  -0;-16926.3580258154  9919.21769383761   39.634935396326;
1525871080778687041; -0.254101596298688 -0.0912818643458752                  -0;-16927.3221144705  9918.19674324835   40.704781567536;
1525871081247681897; -0.254101596298688 -0.0912818643458752                  -0;-16928.3899136045  9917.03466399795  41.8160649911724;
1525871081714700024; -0.254101596298688 -0.0912818643458752                  -0;-16929.4205228513  9915.93633052298  42.8144773946867;
1525871082181639950; -0.254101596298688 -0.0912818643458752                  -0;-16930.6016269152  9914.60736931522   43.935415466406;
1525871082639491122;-0.0282335106998542 -0.0101424293717639                  -0;-16931.7502261731  9913.32393512571  44.9241972756317;
1525871083101547997;-0.0282335106998542 -0.0101424293717639                  -0;-16932.9427697773    9912.038470397  45.9263893710804;
1525871083565331023;-0.0282335106998542 -0.0101424293717639                  -0;-16934.2339115916  9910.60922430342  46.9702258403168;
1525871084031580966;-0.0282335106998542 -0.0101424293717639                  -0;-16935.7385243622  9908.94583579321  48.1368884372705;
1525871084495266001;-0.0282335106998542 -0.0101424293717639                  -0;-16937.1084405169  9907.44292939513  49.1290671123625;
1525871084958802979;-0.0282335106998542 -0.0101424293717639                  -0;-16938.7464990764  9905.74667530147  50.0035664489724;
1525871085439342063;-0.0282335106998542 -0.0101424293717639                  -0;-16940.4400305126  9903.94976320818  50.2104565851814;
1525871085890925925;-0.0282335106998542 -0.0101424293717639                  -0;-16942.0806952792  9902.12364622028  50.1189223366582;
1525871086345946114;-0.0282335106998542 -0.0101424293717639                  -0;-16943.4590726558  9900.41258685198   50.028733161136;
1525871086814951937;-0.0282335106998542 -0.0101424293717639                  -0;-16945.1463771248  9898.16984991944  49.9295041423884;
1525871087276242058;-0.0941117023328473 -0.0338080979058797                  -0;-16946.4643676937  9896.20936636375  49.7917586264393;
1525871087742636960;-0.0941117023328473 -0.0338080979058797                  -0;-16947.614718402 9894.42643445855 49.7793594590356;
1525871088209600966;-0.0941117023328473 -0.0338080979058797                  -0;-16948.6274428709  9892.92845324357   49.837694446408;
1525871088666440051;-0.0941117023328473 -0.0338080979058797                  -0;-16949.4376066938  9891.79423103524  49.9512664241583;
1525871089133672993;-0.0941117023328473 -0.0338080979058797                  -0;-16950.0324699992  9891.08167415593  49.9712731474969;
1525871089601183932;-0.0941117023328473 -0.0338080979058797                  -0;-16950.3506040376  9890.71859177866  50.0270402694659;
1525871090064451974;-0.0941117023328473 -0.0338080979058797                  -0;-16950.4224262943  9890.61296618333  50.0817230202429;
1525871090532080929;-0.0941117023328473 -0.0338080979058797                  -0;-16950.4447195512  9890.54369843482  50.1108894543013;
1525871090993087094;-0.0941117023328473 -0.0338080979058797                  -0;-16950.4641044955  9890.44814865645  50.1063656821989;
1525871091458286088;-0.0941117023328473 -0.0338080979058797                  -0;-16950.5004239238  9890.28284649843  50.1383781874774;
1525871091912219088;-0.0470558511664236 -0.0169040489529399                  -0;-16950.4899823445  9890.11809506983  50.1603908142315;
1525871092404095929;-0.0470558511664236 -0.0169040489529399                  -0;-16950.4781122485  9889.96217450345  50.1977525756893;
1525871092843848031;-0.0470558511664236 -0.0169040489529399                  -0;-16950.4203144274  9889.88099967756  50.1903616567081;
1525871093308575909;-0.0470558511664236 -0.0169040489529399                  -0;-16950.3020948045  9889.91342272334  50.1723636980969;
1525871093773774903;-0.0470558511664236 -0.0169040489529399                  -0;-16950.2097515831  9889.96637031985   50.144312418628;
1525871094236029904;-0.0470558511664236 -0.0169040489529399                  -0;-16950.1261592941  9890.01723214484  50.1693695123031;
1525871094698031943;-0.0470558511664236 -0.0169040489529399                  -0;-16950.0993390762  9890.06526947353  50.1623719745446;
1525871095163239997;-0.0470558511664236 -0.0169040489529399                  -0;-16950.1104741701  9890.16578066001    50.09437704268;
1525871095624419015;-0.0470558511664236 -0.0169040489529399                  -0;-16950.0827251962  9890.23826630593  50.0423388570198;
1525871096097069066;-0.0470558511664236 -0.0169040489529399                  -0;-16950.0881859414  9890.21589884287  50.0601682761758;
1525871096554259102;-0.0564670213997084 -0.0202848587435278                  -0;-16950.0714795044  9890.19346677749  50.0640639255962;
1525871097019197981;-0.0564670213997084 -0.0202848587435278                  -0;-16950.0547171022  9890.17287360299  50.1077961253832;
