KF_Time;KF_States;KF_Covariance;
1455208221983156800; -0.32787511157783  0.101388527961033   1.73241108106814                  0                  0                  0  -0.92346864924102  0.597511853046673 -0.390661448880643;  0.0488965032023904   0.0488965032023904   0.0556302975339548 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0113289933643466   0.0113289933643466    0.149002898761115;
1455208222084262435;-0.399535177486266 0.0937995988799152   1.99106106593505                  0                  0                  0  -0.92346864924102  0.597511853046673 -0.390661448880643;  0.0529965129225678   0.0529965129225678   0.0597303072541322 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0114289933618204   0.0114289933618204    0.159002898537597;
1455208222185406492;-0.499312580041749 0.0859225769826823   2.24644302367992                  0                  0                  0  -0.92346864924102  0.597511853046673 -0.390661448880643;  0.0570965229564757   0.0570965229564757   0.0638303172880401 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0115289933592942   0.0115289933592942     0.16900289831408;
1455208222286415645;-0.619573260352618  0.075859523608454   2.50560680239792                  0                  0                  0 -0.923022447608532  0.597183797687791 -0.379800176030987;  0.0604962786414261   0.0604962786414261    0.067712459475603 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0116014425404805   0.0116014425404805    0.177460899145389;
1455208222377457861;-0.734487798742138 0.0679717360229737   2.74487287332916                  0                  0                  0 -0.923022447608532  0.597183797687791 -0.379800176030987;  0.0645962880079526   0.0645962880079526   0.0718124688421296 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0117014425379543   0.0117014425379543    0.187460898921872;
1455208222478494481;-0.868798351860474 0.0557273284228318   2.98147220215357                  0                  0                  0 -0.923022447608532  0.597183797687791 -0.379800176030987;  0.0686962980626865   0.0686962980626865   0.0759124788968635 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0118014425354281   0.0118014425354281    0.197460898698354;
1455208222579525791; -0.96437106334899 0.0090656098529628   3.24400341874749                  0                  0                  0 -0.923326439296598  0.597292838032989 -0.380174374218197;  0.0522237742638305   0.0522237742638305   0.0534970391936703 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0119007691640792   0.0119007691640792    0.207455652843987;
1455208222680668698;  -1.11749206031546 -0.0277341988584236    3.48833487649715                   0                   0                   0  -0.922989732892497   0.596704565531628  -0.366426968002833;  0.0597428993637327   0.0597428993637327   0.0615216236723675 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0120709701052539   0.0120709701052539    0.224910082293976;
1455208222781635745;  -1.26568744934219 -0.0845990722821641    3.70335790952987                   0                   0                   0  -0.922989732892497   0.596704565531628  -0.366426968002833;   0.063842908260082    0.063842908260082   0.0656216325687168 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0121709701027277   0.0121709701027277    0.234910082070459;
1455208222882734276;  -1.4223488112623 -0.144712471049049   3.93066458499614                  0                  0                  0 -0.922989732892497  0.596704565531628 -0.366426968002833;  0.0679429181995459   0.0679429181995459   0.0697216425081806 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0122709701002015   0.0122709701002015    0.244910081846941;
1455208222983808586; -1.58749951738164 -0.227651106629391   4.15634221082223                  0                  0                  0 -0.922989732892497  0.596704565531628 -0.366426968002833;  0.0720429282957952   0.0720429282957952   0.0738216526044299 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0123709700976753   0.0123709700976753    0.254910081623424;
