aruco_time;aruco_pos; aruco_orient; lp_pose_time; lp_pos; lp_orient; lp_pose_covariance;lp_vel_time; lp_linear_vel; lp_angular_vel; lp_covariance; uav_pos_time; uav_position; uav_pos_covariance;uav_orient_time; uav_orientation; uav_orient_covariance 
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;0;6.95331868070051e-310 1.48036138483631e-316 1.48036296584638e-316;1.48036296584638e-316 6.95331868069814e-310 1.48035980382624e-316;6.95331868073134e-310 6.93897800962314e-310 1.48036296584638e-316 1.48037403291684e-316 6.93897558316161e-310 6.95331868071415e-310 6.95331868075031e-310 6.95331868070526e-310 6.93897563595618e-310 6.93897790291998e-310 6.93897790303435e-310 6.93897790295323e-310 6.95331868070684e-310 6.93897598523421e-310 1.48007601251927e-316 1.48219693752374e-322  2.5622244393327e-320 6.95331868076296e-310 6.95331868069735e-310 1.48005308787331e-316 1.67982319586024e-322  2.5622244393327e-320 6.93897558316161e-310 6.93897587775729e-310 1.48028905362576e-316 1.48035980382624e-316 1.67982319586024e-322  6.9389779977952e-310  6.9389779977952e-310 6.93897587729668e-310 1.08694442085074e-322 1.48036296584638e-316 6.93897563360744e-310 6.93897557623679e-310 6.95331868071435e-310 6.95331868071435e-310;0;2.33554227917741e-316 6.93892623645733e-310 6.93897790293045e-310;6.93897558316161e-310 1.27963002272883e-321 6.93897799792999e-310;6.93897609477212e-310 4.02663501360616e-321 6.93897799833275e-310 6.93892623645866e-310 6.93897799681656e-310 1.58101006669199e-322 4.02663501360616e-321 6.93897674317597e-310 2.19338961274284e-317  6.9533186807345e-310 6.93892623645644e-310 6.93897801249662e-310 6.93897799833275e-310 6.93897799833275e-310 2.10023748774464e-317 6.93897674317597e-310 1.58101006669199e-322 6.95331868074162e-310 6.93897674051394e-310 6.95331868072383e-310 6.95331868072383e-310 6.93897674051394e-310 6.95331868073529e-310 6.93897799683632e-310 6.93897674317597e-310 6.95331868072363e-310 3.58627966408011e-315 6.95331868072363e-310 5.17603601185877e-315                     0 6.93897790303435e-310 6.93897790295323e-310 5.60356162773527e-317 6.95331868073371e-310                     0 6.93897801245433e-310;1521210023296322848; 0.0445660162289059  0.0335047338347217 -0.0699985022120418;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210023246917472;-3.13852693357392  3.06124067756139 0.601695467341729;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;0;6.95331868070051e-310 1.48036138483631e-316 1.48036296584638e-316;1.48036296584638e-316 6.95331868069814e-310 1.48035980382624e-316;6.95331868073134e-310 6.93897800962314e-310 1.48036296584638e-316 1.48037403291684e-316 6.93897558316161e-310 6.95331868071415e-310 6.95331868075031e-310 6.95331868070526e-310 6.93897563595618e-310 6.93897790291998e-310 6.93897790303435e-310 6.93897790295323e-310 6.95331868070684e-310 6.93897598523421e-310 1.48007601251927e-316 1.48219693752374e-322  2.5622244393327e-320 6.95331868076296e-310 6.95331868069735e-310 1.48005308787331e-316 1.67982319586024e-322  2.5622244393327e-320 6.93897558316161e-310 6.93897587775729e-310 1.48028905362576e-316 1.48035980382624e-316 1.67982319586024e-322  6.9389779977952e-310  6.9389779977952e-310 6.93897587729668e-310 1.08694442085074e-322 1.48036296584638e-316 6.93897563360744e-310 6.93897557623679e-310 6.95331868071435e-310 6.95331868071435e-310;0;2.33554227917741e-316 6.93892623645733e-310 6.93897790293045e-310;6.93897558316161e-310 1.27963002272883e-321 6.93897799792999e-310;6.93897609477212e-310 4.02663501360616e-321 6.93897799833275e-310 6.93892623645866e-310 6.93897799681656e-310 1.58101006669199e-322 4.02663501360616e-321 6.93897674317597e-310 2.19338961274284e-317  6.9533186807345e-310 6.93892623645644e-310 6.93897801249662e-310 6.93897799833275e-310 6.93897799833275e-310 2.10023748774464e-317 6.93897674317597e-310 1.58101006669199e-322 6.95331868074162e-310 6.93897674051394e-310 6.95331868072383e-310 6.95331868072383e-310 6.93897674051394e-310 6.95331868073529e-310 6.93897799683632e-310 6.93897674317597e-310 6.95331868072363e-310 3.58627966408011e-315 6.95331868072363e-310 5.17603601185877e-315                     0 6.93897790303435e-310 6.93897790295323e-310 5.60356162773527e-317 6.95331868073371e-310                     0 6.93897801245433e-310;1521210023388852612; 0.0445660162289059  0.0335047338347217 -0.0699985022120418;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210023347811469;-3.13970275366436  3.06133789456728 0.601765693832137;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208681489047050;-17.0241397716153 0.887875497205148  29.1060811292592;  2.77907119389192   3.06139510590002 -0.435086171111289;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208681489047050;-0.00989850775563046  0.00142110668555307                    0;-0.00270932307466865 0.000116494484245777  0.00323875481262803;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210023637726329;  0.055707519512697  0.0390888559411338 -0.0599982547173844;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210023601873330; 3.13688077824368  3.06565776571483 0.602516627842632;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208681489047050;-17.0241397716153 0.887875497205148  29.1060811292592;  2.77907119389192   3.06139510590002 -0.435086171111289;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208681489047050;-0.00989850775563046  0.00142110668555307                    0;-0.00270932307466865 0.000116494484245777  0.00323875481262803;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210023787772749;0.0557075197806537 0.0390888559724082 -0.049998254506936;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210023856613770;-3.14082346955091  3.06143552661001 0.602975678953071;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208681947082042;-17.0129982686458 0.904627859940212  29.1240818617366;  2.77908285602164   3.06160212822638 -0.435082726986422;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208681947082042;-0.00989850775563046  0.00142110668555307                    0; 0.00168392388150096 0.000284229405224323 -0.00450565991923213;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024008134619; 0.0445660160600652  0.0446729783901136 -0.0499979880358205;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210023996279289;-3.13445884787852  3.05622470854861 0.601401258903439;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208681947082042;-17.0129982686458 0.904627859940212  29.1240818617366;  2.77908285602164   3.06160212822638 -0.435082726986422;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208681947082042;-0.00989850775563046  0.00142110668555307                    0; 0.00168392388150096 0.000284229405224323 -0.00450565991923213;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024272637744; 0.0445660159734099  0.0335047337187772 -0.0499985022484993;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210024260850416;-3.14009054373081  3.05710070948114   0.6045088552719;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208682412414073;-17.0018564687179 0.887875470919953  29.2560810475646;  2.77930356886695   3.06178518172602 -0.434982922149284;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208682412414073;-0.00989850775563046  0.00142110668555307                    0;-0.000486081960843876  -0.00174377299845219  0.000665579922497272;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024398252873;0.0557075193106279 0.0279206114653501 -0.049998770016818;2.89000016212464                0                0                0 2.89000016212464                0                0                0 11.5600006484985;1521210024357956751; 3.13705771837355  3.06184039480589 0.603745093288136;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208682412414073;-17.0018564687179 0.887875470919953  29.2560810475646;  2.77930356886695   3.06178518172602 -0.434982922149284;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208682412414073;-0.00989850775563046  0.00142110668555307                    0;-0.000486081960843876  -0.00174377299845219  0.000665579922497272;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024593116003;  0.055707519033579  0.0111682445146305 -0.0399995413652288;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210024607830413; 3.13124939572583  3.05206352381377 0.602273790581274;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208682412414073;-17.0018564687179 0.887875470919953  29.2560810475646;  2.77930356886695   3.06178518172602 -0.434982922149284;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208682412414073;-0.00989850775563046  0.00142110668555307                    0;-0.000486081960843876  -0.00174377299845219  0.000665579922497272;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024864769135;   0.0668490224294094 -2.44435634927376e-11   -0.0400000683322838;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210024887382765; 3.13041636093416  3.05419625691737 0.601304195199907;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
0;6.95331868067996e-310 6.95331868068312e-310 6.95331868069814e-310;6.95331868067601e-310                     0                     0;1455208682882996082;-16.9795731772754 0.843202466783348  29.4050789004429;  2.77953967912865   3.06202537904717 -0.434821166820545;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1455208682882996082;-0.00989850775563046  0.00142110668555307                    0; -0.00182882370427251 -0.000393575988709927   0.00183538673445582;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210024946519460; 0.0668490228468889 -0.0111682444343038 -0.0500005823092206;2.49640013561249                0                0                0 2.49640013561249                0                0                0 9.98560054244996;1521210024969292095; 3.12853320554253  3.05383085095423 0.602692708981102;6.95331868068945e-310 2.47032822920623e-322 6.93897563032546e-310 6.95331868067917e-310 6.95331868067126e-310 6.93897801042155e-310 6.93897676651504e-310  6.9533186806847e-310 6.95331868068233e-310;
