aruco_time; aruco_pos; aruco_orient; lp_pose_time; lp_pos; lp_orient; lp_pose_covariance;lp_vel_time; lp_linear_vel; lp_angular_vel; lp_covariance; uav_pos_time; uav_position; uav_pos_covariance;uav_orient_time; uav_orientation; uav_orient_covariance; uav_velocity_time; uav_velocity_linear; uav_velocity_angular 
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;0;1.35441148522826e-306 1.67982319586024e-322 6.90542629152477e-310;2.06501890749901e-316  2.5622244393327e-320 6.90542638619763e-310 6.90542396484159e-310;6.90542397176641e-310   6.952596747134e-310 1.49474706756672e-314 6.90542638633241e-310 6.90542513178077e-310 6.95259674714349e-310 6.90542629163915e-310 6.90542629155803e-310 2.33554227917741e-316 6.90542629153525e-310 6.90542629163915e-310 6.90542629155803e-310  2.5622244393327e-320 2.06493392820792e-316 6.95250700951951e-310 6.90542448337692e-310 4.02663501360616e-321 6.90542513178077e-310 6.90542397176641e-310 6.90542426636209e-310 6.90542629153525e-310 4.02663501360616e-321 6.90542513178077e-310 2.21160334277678e-317 6.90542638619763e-310 6.90542426590148e-310 6.90542397176641e-310 6.90542638673518e-310 6.90542638673518e-310 2.10982236127396e-317  6.9525967471342e-310  6.9525967471342e-310 1.27963002272883e-321 6.90542512911874e-310 6.95259674714369e-310 6.95259674714369e-310;0;5.60356162773527e-317 6.95250700952084e-310 6.95259674715436e-310;6.90542513178077e-310 6.90542512911874e-310 6.95259674714349e-310;6.90542638521899e-310 6.95259674714665e-310 6.95259674716345e-310 4.94065645841247e-324 6.90542640110142e-310 2.12199579047121e-314                     0 6.90542640110142e-310 6.90542629170022e-310 6.90542640105913e-310 6.95259674715436e-310  6.9525967471595e-310 1.58101006669199e-322 6.95259674716147e-310 3.95252516672997e-323 6.90542513178077e-310 3.01937219775965e-314 6.90542513008514e-310 6.95259674715752e-310 6.90542638523994e-310 6.90542638523994e-310 6.90542629163915e-310 6.95259674715357e-310 6.90542638673518e-310 2.64288215797585e-315                     0 4.94065645841247e-324 1.04643103789176e-320 3.58627966408011e-315 2.12199581369229e-314                     0 6.90542640105913e-310                     0                     0 2.21160334277678e-317 6.95259674717017e-310;1521210189446897116;    -2.68510240567171    -0.268038578810115 -9.02201975661043e-06;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210189490932029;0.0103131613145007 0.0117903826541075  0.740088600286933  0.672326921449602;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210189453280294; -3.26843118667603 -0.337186217308045 0.0444411784410477;  0.0620884001255035  -0.0404816307127476 -0.00950562488287687;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;0;1.35441148522826e-306 1.67982319586024e-322 6.90542629152477e-310;2.06501890749901e-316  2.5622244393327e-320 6.90542638619763e-310 6.90542396484159e-310;6.90542397176641e-310   6.952596747134e-310 1.49474706756672e-314 6.90542638633241e-310 6.90542513178077e-310 6.95259674714349e-310 6.90542629163915e-310 6.90542629155803e-310 2.33554227917741e-316 6.90542629153525e-310 6.90542629163915e-310 6.90542629155803e-310  2.5622244393327e-320 2.06493392820792e-316 6.95250700951951e-310 6.90542448337692e-310 4.02663501360616e-321 6.90542513178077e-310 6.90542397176641e-310 6.90542426636209e-310 6.90542629153525e-310 4.02663501360616e-321 6.90542513178077e-310 2.21160334277678e-317 6.90542638619763e-310 6.90542426590148e-310 6.90542397176641e-310 6.90542638673518e-310 6.90542638673518e-310 2.10982236127396e-317  6.9525967471342e-310  6.9525967471342e-310 1.27963002272883e-321 6.90542512911874e-310 6.95259674714369e-310 6.95259674714369e-310;0;5.60356162773527e-317 6.95250700952084e-310 6.95259674715436e-310;6.90542513178077e-310 6.90542512911874e-310 6.95259674714349e-310;6.90542638521899e-310 6.95259674714665e-310 6.95259674716345e-310 4.94065645841247e-324 6.90542640110142e-310 2.12199579047121e-314                     0 6.90542640110142e-310 6.90542629170022e-310 6.90542640105913e-310 6.95259674715436e-310  6.9525967471595e-310 1.58101006669199e-322 6.95259674716147e-310 3.95252516672997e-323 6.90542513178077e-310 3.01937219775965e-314 6.90542513008514e-310 6.95259674715752e-310 6.90542638523994e-310 6.90542638523994e-310 6.90542629163915e-310 6.95259674715357e-310 6.90542638673518e-310 2.64288215797585e-315                     0 4.94065645841247e-324 1.04643103789176e-320 3.58627966408011e-315 2.12199581369229e-314                     0 6.90542640105913e-310                     0                     0 2.21160334277678e-317 6.95259674717017e-310;1521210189670551661;    -3.52071518000284    -0.351800714192127 -1.16139050567732e-05;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210189698194431;0.00592152929952352 0.00966750252083969   0.739686749860786   0.672855844119787;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210189676791835;  -3.28573179244995  -0.331438302993775 0.00858137477189306; -0.0246835388243198 -0.00223422981798649  0.00394859677180648;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;0;1.35441148522826e-306 1.67982319586024e-322 6.90542629152477e-310;2.06501890749901e-316  2.5622244393327e-320 6.90542638619763e-310 6.90542396484159e-310;6.90542397176641e-310   6.952596747134e-310 1.49474706756672e-314 6.90542638633241e-310 6.90542513178077e-310 6.95259674714349e-310 6.90542629163915e-310 6.90542629155803e-310 2.33554227917741e-316 6.90542629153525e-310 6.90542629163915e-310 6.90542629155803e-310  2.5622244393327e-320 2.06493392820792e-316 6.95250700951951e-310 6.90542448337692e-310 4.02663501360616e-321 6.90542513178077e-310 6.90542397176641e-310 6.90542426636209e-310 6.90542629153525e-310 4.02663501360616e-321 6.90542513178077e-310 2.21160334277678e-317 6.90542638619763e-310 6.90542426590148e-310 6.90542397176641e-310 6.90542638673518e-310 6.90542638673518e-310 2.10982236127396e-317  6.9525967471342e-310  6.9525967471342e-310 1.27963002272883e-321 6.90542512911874e-310 6.95259674714369e-310 6.95259674714369e-310;0;5.60356162773527e-317 6.95250700952084e-310 6.95259674715436e-310;6.90542513178077e-310 6.90542512911874e-310 6.95259674714349e-310;6.90542638521899e-310 6.95259674714665e-310 6.95259674716345e-310 4.94065645841247e-324 6.90542640110142e-310 2.12199579047121e-314                     0 6.90542640110142e-310 6.90542629170022e-310 6.90542640105913e-310 6.95259674715436e-310  6.9525967471595e-310 1.58101006669199e-322 6.95259674716147e-310 3.95252516672997e-323 6.90542513178077e-310 3.01937219775965e-314 6.90542513008514e-310 6.95259674715752e-310 6.90542638523994e-310 6.90542638523994e-310 6.90542629163915e-310 6.95259674715357e-310 6.90542638673518e-310 2.64288215797585e-315                     0 4.94065645841247e-324 1.04643103789176e-320 3.58627966408011e-315 2.12199581369229e-314                     0 6.90542640105913e-310                     0                     0 2.21160334277678e-317 6.95259674717017e-310;1521210189922109897;  -4.23377142624202  -0.424394595671429 -0.0200137870779336;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210189822185429;0.00494242068428509 0.00951152092804976   0.739802784755876    0.67273839128956;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210189924939976; -3.25881433486938 -0.334419310092927 0.0219246223568917;   0.0200426578521729 -0.000549516698811203  -0.00641546631231904;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;1521210189046926310;-10.7737835752373 -3.48449336632268  28.9688605733875;-0.102701396942579 0.0964159874110358 -0.812322854839786 -0.565939890750368;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210189046926310;0.551886642299762 -1.43771385680569                 0; 0.0261260382831097 0.00382979516871275    0.10860537737608;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210190045549659;  -4.61258254872556  -0.463483619051478 -0.0200149333567297;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210190097177096;0.00522450862512865  0.0108285824683274   0.739864723129969   0.672648227366405;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210190051918836; -3.26627540588379 -0.328617751598359 0.0305446870625019;  -0.0418656282126904 -0.000754347944166511  -0.00690712127834559;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;1521210189046926310;-10.7737835752373 -3.48449336632268  28.9688605733875;-0.102701396942579 0.0964159874110358 -0.812322854839786 -0.565939890750368;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210189046926310;0.551886642299762 -1.43771385680569                 0; 0.0261260382831097 0.00382979516871275    0.10860537737608;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210190299301847;  -5.45933683424771  -0.547245845148079 -0.0300172483737358;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210190327113621;0.00568043636515315  0.0106575596106902   0.739790455618992    0.67272894306763;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210190305570021; -3.29704523086548 -0.342023313045502 0.0373236201703549; -0.0355174578726292 -0.00775849586352706  0.00400529755279421;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;1521210189513192465;-11.408846571979 -3.1103575496866 29.0598793730274;-0.098221594125007 0.0889467251548672 -0.836598702041569 -0.531548314148515;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210189513192465;0.551886642299762 -1.43771385680569                 0;-0.0234046168625355  0.0370460897684097   0.105717450380325;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210190415022699;  -5.86043095520028  -0.586334896839098 -0.0200182790338279;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210190478409465;0.000922921062578976  0.00537962489427891    0.740348520506706    0.672201068160592;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210190420833861; -3.29870986938477 -0.349988788366318 0.0505525916814804; -0.024927131831646 0.00508450297638774 0.00676629086956381;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;1521210189513192465;-11.408846571979 -3.1103575496866 29.0598793730274;-0.098221594125007 0.0889467251548672 -0.836598702041569 -0.531548314148515;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210189513192465;0.551886642299762 -1.43771385680569                 0;-0.0234046168625355  0.0370460897684097   0.105717450380325;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210190693623132;   -6.71832670637476   -0.675681321659694 -2.0660031627262e-05;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210190664228212;-0.00452309505489622 -0.00038276608697314    0.740518458202059    0.672020690279171;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210190700084312; -3.24552607536316 -0.348614513874055 0.0238514710217715;-0.0625039711594582 0.00316573330201209 -0.0107593620195985;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;1521210189513192465;-11.408846571979 -3.1103575496866 29.0598793730274;-0.098221594125007 0.0889467251548672 -0.836598702041569 -0.531548314148515;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210189513192465;0.551886642299762 -1.43771385680569                 0;-0.0234046168625355  0.0370460897684097   0.105717450380325;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210190836530741;    -7.09713782454437     -0.72035454073767 -2.19135341770205e-05;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210190864236513;-0.00805817584059398 -0.00175923327989761     0.73965305512868    0.672937834379372;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210190843092924; -3.22008609771729 -0.358795911073685 0.0193033739924431;-0.00179156730882823   0.0179611891508102  -0.0109969498589635;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;1521210189973803331;-12.0216266691135 -2.74180573930845  29.1158979398149;-0.0896691566436842  0.0892242977822416  -0.849673097242053  -0.511912194477894;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210189973803331;0.551886642299762 -1.43771385680569                 0;-0.00522274011746049  0.00525536807253957   0.0547651872038841;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210191047298178; -7.86590153998164 -0.798532716486944 0.0199761855774776;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210191099506632; -0.0142451119032805 -0.00778385757133152    0.729580528757128    0.683702230804201;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210191053556353;  -3.13944840431213  -0.369623959064484 -0.0029262518510222; -0.058041013777256 0.00853106658905745  -0.144113004207611;
0;6.95259674710851e-310 6.95259674710851e-310  6.9054240251463e-310;1.97626258336499e-323 2.61854792295861e-322 6.95259674710535e-310;1521210189973803331;-12.0216266691135 -2.74180573930845  29.1158979398149;-0.0896691566436842  0.0892242977822416  -0.849673097242053  -0.511912194477894;0.435600034618378                 0                 0                 0                 0                 0                 0 0.435600034618378                 0                 0                 0                 0                 0                 0  1.74240013847351                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0;1521210189973803331;0.551886642299762 -1.43771385680569                 0;-0.00522274011746049  0.00525536807253957   0.0547651872038841;                   1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07                    0                    0                    0                    0                    0                    0 1.21846967914683e-07;1521210191293664133; -8.60124074688976 -0.887879209843138 0.0299737851128716;2.43359982147217                0                0                0 2.43359982147217                0                0                0 9.73439928588868;1521210191225745140;-0.0180377484345262 -0.0153552090287142   0.720333371193065   0.693223406653823;                    0 6.95259674706503e-310 6.95259674707847e-310 6.95259674710693e-310 6.95259674712274e-310 6.95259674710693e-310 6.95259674706819e-310 -1.98346719878889e-28 6.95259674707768e-310;1521210191299902306;   -3.0163300037384  -0.386335879564286 -0.0155941667035222;-0.0628835409879684 -0.0398889780044556  -0.116965070366859;
